1648366748 total:        0.02 Mb/s In     0.07 Mb/s Out -     28.0 p/s In      81.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.42 Mb/s In     0.27 Mb/s Out -    626.0 p/s In     462.0 p/s Out
  s1-eth2:     7.64 Mb/s In     0.27 Mb/s Out -    645.0 p/s In     463.0 p/s Out
  s1-eth3:     7.24 Mb/s In     0.27 Mb/s Out -    612.0 p/s In     456.0 p/s Out
  s1-eth4:     0.30 Mb/s In     6.73 Mb/s Out -    514.0 p/s In     569.0 p/s Out
  s1-eth5:     0.30 Mb/s In     6.88 Mb/s Out -    512.0 p/s In     583.0 p/s Out
  s1-eth6:     0.30 Mb/s In     6.61 Mb/s Out -    499.0 p/s In     561.0 p/s Out
1648366776 total:       24.74 Mb/s In    22.26 Mb/s Out -   3639.0 p/s In    3281.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     13.0 p/s In      13.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.92 Mb/s In     0.29 Mb/s Out -    669.0 p/s In     482.0 p/s Out
  s1-eth2:     8.01 Mb/s In     0.29 Mb/s Out -    676.0 p/s In     484.0 p/s Out
  s1-eth3:     7.84 Mb/s In     0.29 Mb/s Out -    661.0 p/s In     495.0 p/s Out
  s1-eth4:     0.31 Mb/s In     7.01 Mb/s Out -    527.0 p/s In     592.0 p/s Out
  s1-eth5:     0.32 Mb/s In     7.16 Mb/s Out -    544.0 p/s In     606.0 p/s Out
  s1-eth6:     0.33 Mb/s In     7.21 Mb/s Out -    549.0 p/s In     609.0 p/s Out
1648366777 total:       22.09 Mb/s In    19.81 Mb/s Out -   3264.0 p/s In    2935.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     18.0 p/s In      23.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.13 Mb/s In     0.26 Mb/s Out -    601.0 p/s In     445.0 p/s Out
  s1-eth2:     8.04 Mb/s In     0.29 Mb/s Out -    678.0 p/s In     494.0 p/s Out
  s1-eth3:     6.05 Mb/s In     0.22 Mb/s Out -    510.0 p/s In     369.0 p/s Out
  s1-eth4:     0.29 Mb/s In     6.47 Mb/s Out -    496.0 p/s In     546.0 p/s Out
  s1-eth5:     0.32 Mb/s In     7.16 Mb/s Out -    544.0 p/s In     604.0 p/s Out
  s1-eth6:     0.25 Mb/s In     5.38 Mb/s Out -    417.0 p/s In     454.0 p/s Out
1648366778 total:       24.10 Mb/s In    21.45 Mb/s Out -   3515.0 p/s In    3140.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      8.0 p/s In      10.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.79 Mb/s In     0.28 Mb/s Out -    657.0 p/s In     465.0 p/s Out
  s1-eth2:     7.04 Mb/s In     0.25 Mb/s Out -    594.0 p/s In     426.0 p/s Out
  s1-eth3:     8.35 Mb/s In     0.30 Mb/s Out -    704.0 p/s In     500.0 p/s Out
  s1-eth4:     0.30 Mb/s In     6.82 Mb/s Out -    509.0 p/s In     575.0 p/s Out
  s1-eth5:     0.28 Mb/s In     6.35 Mb/s Out -    481.0 p/s In     536.0 p/s Out
  s1-eth6:     0.33 Mb/s In     7.45 Mb/s Out -    562.0 p/s In     628.0 p/s Out
1648366779 total:       22.10 Mb/s In    19.73 Mb/s Out -   3231.0 p/s In    2907.0 p/s Out
    ens4:     0.00 Mb/s In     0.00 Mb/s Out -      5.0 p/s In       4.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     8.30 Mb/s In     0.31 Mb/s Out -    700.0 p/s In     521.0 p/s Out
  s1-eth2:     6.62 Mb/s In     0.23 Mb/s Out -    558.0 p/s In     392.0 p/s Out
  s1-eth3:     6.33 Mb/s In     0.23 Mb/s Out -    534.0 p/s In     391.0 p/s Out
  s1-eth4:     0.34 Mb/s In     7.41 Mb/s Out -    570.0 p/s In     625.0 p/s Out
  s1-eth5:     0.26 Mb/s In     5.87 Mb/s Out -    436.0 p/s In     495.0 p/s Out
  s1-eth6:     0.25 Mb/s In     5.68 Mb/s Out -    428.0 p/s In     479.0 p/s Out
1648366780 total:       21.76 Mb/s In    20.57 Mb/s Out -   3198.0 p/s In    3161.0 p/s Out
    ens4:     0.01 Mb/s In     0.96 Mb/s Out -     11.0 p/s In     280.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.10 Mb/s In     0.26 Mb/s Out -    599.0 p/s In     432.0 p/s Out
  s1-eth2:     7.33 Mb/s In     0.28 Mb/s Out -    618.0 p/s In     466.0 p/s Out
  s1-eth3:     6.47 Mb/s In     0.23 Mb/s Out -    546.0 p/s In     393.0 p/s Out
  s1-eth4:     0.28 Mb/s In     6.17 Mb/s Out -    467.0 p/s In     520.0 p/s Out
  s1-eth5:     0.30 Mb/s In     6.78 Mb/s Out -    514.0 p/s In     572.0 p/s Out
  s1-eth6:     0.26 Mb/s In     5.90 Mb/s Out -    443.0 p/s In     498.0 p/s Out
1648366781 total:       23.71 Mb/s In    21.18 Mb/s Out -   3474.0 p/s In    3120.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      8.0 p/s In      10.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.52 Mb/s In     0.27 Mb/s Out -    634.0 p/s In     459.0 p/s Out
  s1-eth2:     7.74 Mb/s In     0.28 Mb/s Out -    653.0 p/s In     473.0 p/s Out
  s1-eth3:     7.53 Mb/s In     0.27 Mb/s Out -    635.0 p/s In     462.0 p/s Out
  s1-eth4:     0.30 Mb/s In     6.69 Mb/s Out -    507.0 p/s In     564.0 p/s Out
  s1-eth5:     0.31 Mb/s In     6.98 Mb/s Out -    526.0 p/s In     589.0 p/s Out
  s1-eth6:     0.30 Mb/s In     6.67 Mb/s Out -    511.0 p/s In     563.0 p/s Out
1648366782 total:       18.98 Mb/s In    12.44 Mb/s Out -   2484.0 p/s In    2177.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      20.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     5.31 Mb/s In     0.20 Mb/s Out -    448.0 p/s In     341.0 p/s Out
  s1-eth2:     6.71 Mb/s In     0.26 Mb/s Out -    566.0 p/s In     433.0 p/s Out
  s1-eth3:     6.40 Mb/s In     0.23 Mb/s Out -    540.0 p/s In     394.0 p/s Out
  s1-eth5:     0.28 Mb/s In     5.99 Mb/s Out -    466.0 p/s In     505.0 p/s Out
  s1-eth6:     0.26 Mb/s In     5.74 Mb/s Out -    447.0 p/s In     484.0 p/s Out
