1648367086 total:        0.02 Mb/s In     0.08 Mb/s Out -     32.0 p/s In     111.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.62 Mb/s In     0.36 Mb/s Out -    643.0 p/s In     600.0 p/s Out
  s1-eth2:     9.67 Mb/s In     0.45 Mb/s Out -    816.0 p/s In     755.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.45 Mb/s Out -    825.0 p/s In     761.0 p/s Out
  s1-eth4:     0.36 Mb/s In     7.49 Mb/s Out -    610.0 p/s In     633.0 p/s Out
  s1-eth5:     0.46 Mb/s In     9.39 Mb/s Out -    769.0 p/s In     792.0 p/s Out
  s1-eth6:     0.46 Mb/s In     9.52 Mb/s Out -    784.0 p/s In     804.0 p/s Out
1648367114 total:       30.68 Mb/s In    29.77 Mb/s Out -   4800.0 p/s In    4670.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       7.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.54 Mb/s In     0.44 Mb/s Out -    805.0 p/s In     741.0 p/s Out
  s1-eth2:    10.01 Mb/s In     0.45 Mb/s Out -    844.0 p/s In     767.0 p/s Out
  s1-eth3:     9.75 Mb/s In     0.45 Mb/s Out -    822.0 p/s In     756.0 p/s Out
  s1-eth4:     0.45 Mb/s In     9.24 Mb/s Out -    760.0 p/s In     779.0 p/s Out
  s1-eth5:     0.47 Mb/s In     9.73 Mb/s Out -    788.0 p/s In     822.0 p/s Out
  s1-eth6:     0.46 Mb/s In     9.45 Mb/s Out -    774.0 p/s In     798.0 p/s Out
1648367115 total:       29.61 Mb/s In    28.69 Mb/s Out -   4632.0 p/s In    4502.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      8.0 p/s In      10.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.66 Mb/s In     0.45 Mb/s Out -    815.0 p/s In     755.0 p/s Out
  s1-eth2:     9.83 Mb/s In     0.43 Mb/s Out -    829.0 p/s In     733.0 p/s Out
  s1-eth3:     8.79 Mb/s In     0.41 Mb/s Out -    742.0 p/s In     688.0 p/s Out
  s1-eth4:     0.46 Mb/s In     9.46 Mb/s Out -    772.0 p/s In     800.0 p/s Out
  s1-eth5:     0.45 Mb/s In     9.47 Mb/s Out -    764.0 p/s In     802.0 p/s Out
  s1-eth6:     0.42 Mb/s In     8.45 Mb/s Out -    702.0 p/s In     714.0 p/s Out
1648367116 total:       28.01 Mb/s In    27.04 Mb/s Out -   4365.0 p/s In    4216.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      8.0 p/s In       6.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     8.96 Mb/s In     0.40 Mb/s Out -    757.0 p/s In     676.0 p/s Out
  s1-eth2:     9.38 Mb/s In     0.42 Mb/s Out -    791.0 p/s In     715.0 p/s Out
  s1-eth3:     8.42 Mb/s In     0.38 Mb/s Out -    710.0 p/s In     637.0 p/s Out
  s1-eth4:     0.42 Mb/s In     8.70 Mb/s Out -    702.0 p/s In     735.0 p/s Out
  s1-eth5:     0.44 Mb/s In     9.02 Mb/s Out -    739.0 p/s In     762.0 p/s Out
  s1-eth6:     0.39 Mb/s In     8.11 Mb/s Out -    658.0 p/s In     685.0 p/s Out
1648367117 total:       28.60 Mb/s In    28.26 Mb/s Out -   4496.0 p/s In    4485.0 p/s Out
    ens4:     0.01 Mb/s In     0.46 Mb/s Out -     11.0 p/s In     140.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.30 Mb/s In     0.42 Mb/s Out -    784.0 p/s In     715.0 p/s Out
  s1-eth2:     8.81 Mb/s In     0.39 Mb/s Out -    743.0 p/s In     665.0 p/s Out
  s1-eth3:     9.20 Mb/s In     0.43 Mb/s Out -    776.0 p/s In     725.0 p/s Out
  s1-eth4:     0.44 Mb/s In     8.99 Mb/s Out -    741.0 p/s In     758.0 p/s Out
  s1-eth5:     0.41 Mb/s In     8.54 Mb/s Out -    697.0 p/s In     720.0 p/s Out
  s1-eth6:     0.44 Mb/s In     9.03 Mb/s Out -    744.0 p/s In     762.0 p/s Out
1648367118 total:       27.63 Mb/s In    26.74 Mb/s Out -   4322.0 p/s In    4180.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       5.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.75 Mb/s In     0.44 Mb/s Out -    822.0 p/s In     750.0 p/s Out
  s1-eth2:     7.91 Mb/s In     0.36 Mb/s Out -    668.0 p/s In     605.0 p/s Out
  s1-eth3:     8.74 Mb/s In     0.39 Mb/s Out -    737.0 p/s In     662.0 p/s Out
  s1-eth4:     0.46 Mb/s In     9.44 Mb/s Out -    774.0 p/s In     797.0 p/s Out
  s1-eth5:     0.37 Mb/s In     7.67 Mb/s Out -    627.0 p/s In     648.0 p/s Out
  s1-eth6:     0.41 Mb/s In     8.43 Mb/s Out -    687.0 p/s In     713.0 p/s Out
1648367119 total:       28.98 Mb/s In    28.17 Mb/s Out -   4542.0 p/s In    4424.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       9.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.92 Mb/s In     0.45 Mb/s Out -    838.0 p/s In     767.0 p/s Out
  s1-eth2:     9.43 Mb/s In     0.43 Mb/s Out -    795.0 p/s In     733.0 p/s Out
  s1-eth3:     8.32 Mb/s In     0.38 Mb/s Out -    702.0 p/s In     646.0 p/s Out
  s1-eth4:     0.47 Mb/s In     9.56 Mb/s Out -    789.0 p/s In     807.0 p/s Out
  s1-eth5:     0.44 Mb/s In     9.21 Mb/s Out -    747.0 p/s In     777.0 p/s Out
  s1-eth6:     0.39 Mb/s In     8.12 Mb/s Out -    664.0 p/s In     685.0 p/s Out
1648367120 total:       25.15 Mb/s In    24.44 Mb/s Out -   3934.0 p/s In    3824.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       7.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     8.43 Mb/s In     0.39 Mb/s Out -    711.0 p/s In     655.0 p/s Out
  s1-eth2:     7.60 Mb/s In     0.35 Mb/s Out -    641.0 p/s In     599.0 p/s Out
  s1-eth3:     7.99 Mb/s In     0.35 Mb/s Out -    674.0 p/s In     594.0 p/s Out
  s1-eth4:     0.39 Mb/s In     8.18 Mb/s Out -    664.0 p/s In     690.0 p/s Out
  s1-eth5:     0.37 Mb/s In     7.46 Mb/s Out -    617.0 p/s In     629.0 p/s Out
  s1-eth6:     0.37 Mb/s In     7.71 Mb/s Out -    620.0 p/s In     650.0 p/s Out
